Username,Bad Guy,Billie Jean,Blinding Lights,Circles,HUMBLE.,Hey Jude,Levitating,Lovely,MONTERO,Midnight City
beatbuster,0.8,1,2.1,3.4,2.4,2.7,1.5,1.4,2.8,2.7
beatslover21,3.2,1.5,1.1,1.1,0.7,2.1,0,2.8,2,1.5
groovemaster,2.1,1,1.5,1.5,1.1,1.1,0.6,3,0.9,0
melodymaker,3.2,3.2,3.2,3.2,1.4,2,1,3.2,0.5,2.4
musicfan92,0,1.5,0.5,1.3,0.4,2.7,1.4,3,0.6,1.8
rhythmaddict,0.7,3,1.2,2.6,2.4,2.5,2.8,0.9,0.8,1.4
rhythmlove88,1.1,3,1.6,3.2,3,3,1.1,3.4,2.6,3.2
soundexplorer,3.2,3.1,1.2,1.1,0,2.4,2.9,0,1.4,3.2
tunes_lover1,0.5,2.4,1.8,3.2,0.7,2.6,1.9,2,0.8,2.4
vibesonly22,2.9,1.4,1.5,2,1.7,3.2,1.7,1.1,1.7,2.1
